NAME                       VERSION                    TYPE                        
Simple Launcher            1.1.0.14                   binary     (+11 duplicates)  
acl-libs                   2.3.2-r1                   apk                          
ada-libs                   2.9.2-r4                   apk                          
aenum                      2.2.6                      python                       
alpine-baselayout          3.7.0-r0                   apk                          
alpine-baselayout-data     3.7.0-r0                   apk                          
alpine-keys                2.5-r0                     apk                          
alpine-release             3.22.2-r0                  apk                          
aniso8601                  10.0.1                     python                       
apk-tools                  2.14.9-r3                  apk                          
appdirs                    1.4.4                      python                       
apprise                    1.9.5                      python                       
arrow                      1.4.0                      python                       
attrs                      25.4.0                     python                       
autocommand                2.2.2                      python                       
babel                      2.17.0                     python                       
backports-tarfile          1.2.0                      python                       
backports-zstd             1.0.0                      python                       
bash                       5.2.37-r0                  apk                          
beautifulsoup4             4.14.2                     python                       
bidict                     0.23.1                     python                       
blinker                    1.9.0                      python                       
brotli                     1.1.0                      python                       
brotli-libs                1.1.0-r2                   apk                          
busybox                    1.37.0-r19                 apk                          
busybox-binsh              1.37.0-r19                 apk                          
c-ares                     1.34.5-r0                  apk                          
ca-certificates            20250911-r0                apk                          
ca-certificates-bundle     20250911-r0                apk                          
cairo                      1.18.4-r0                  apk                          
catatonit                  0.2.1-r0                   apk                          
certifi                    2025.10.5                  python                       
cffi                       2.0.0                      python                       
cfgv                       3.4.0                      python                       
changedetection-api-docs   1.0.0                      npm                          
changedetection.io-theme   0.0.3                      npm                          
chardet                    5.2.0                      python                       
charset-normalizer         3.4.4                      python                       
cli                        UNKNOWN                    binary                       
cli-32                     UNKNOWN                    binary                       
cli-64                     UNKNOWN                    binary                       
cli-arm64                  UNKNOWN                    binary                       
click                      8.3.0                      python                       
coreutils                  9.7-r1                     apk                          
coreutils-env              9.7-r1                     apk                          
coreutils-fmt              9.7-r1                     apk                          
coreutils-sha512sum        9.7-r1                     apk                          
cryptography               44.0.1                     python                       
curl                       8.14.1-r2                  apk                          
decorator                  5.2.1                      python                       
distlib                    0.4.0                      python                       
elementpath                5.0.4                      python                       
et-xmlfile                 2.0.0                      python                       
extruct                    0.18.0                     python                       
feedgen                    0.9.0                      python                       
feedparser                 6.0.12                     python                       
file                       5.46-r2                    apk                          
filelock                   3.20.0                     python                       
findutils                  4.10.0-r0                  apk                          
flask                      3.1.2                      python                       
flask-compress             1.20                       python                       
flask-cors                 6.0.1                      python                       
flask-expects-json         1.7.0                      python                       
flask-login                0.6.3                      python                       
flask-paginate             2024.4.12                  python                       
flask-restful              0.3.10                     python                       
flask-socketio             5.5.1                      python                       
flask-wtf                  1.2.2                      python                       
fontconfig                 2.15.0-r3                  apk                          
freetype                   2.13.3-r0                  apk                          
gdbm                       1.24-r0                    apk                          
gevent                     25.9.1                     python                       
greenlet                   3.2.4                      python                       
gui                        UNKNOWN                    binary                       
gui-32                     UNKNOWN                    binary                       
gui-64                     UNKNOWN                    binary                       
gui-arm64                  UNKNOWN                    binary                       
h11                        0.16.0                     python                       
html-text                  0.7.1                      python                       
html5lib                   1.1                        python                       
icu-data-en                76.1-r1                    apk                          
icu-libs                   76.1-r1                    apk                          
identify                   2.6.15                     python                       
idna                       3.11                       python                       
importlib-metadata         8.0.0                      python                       
inflect                    7.3.1                      python                       
iniconfig                  2.3.0                      python                       
inscriptis                 2.6.0                      python                       
isodate                    0.7.2                      python                       
itsdangerous               2.2.0                      python                       
janus                      2.0.0                      python                       
